time,tag,tr,flag,tell
2024-11-03 17:52:36.158902,ct,0.462977,correct comission,f3
2024-11-03 17:52:37.028858,click,,,f2
2024-11-03 17:52:36.964294,ct,0.869956,correct comission,f2
2024-11-03 17:52:37.812930,click,,,f2
2024-11-03 17:52:37.768350,ct,0.848636,correct comission,f2
2024-11-03 17:52:38.536719,click,,,f2
2024-11-03 17:52:38.566752,ct,0.768369,correct comission,f2
2024-11-03 17:52:39.481336,click,,,f2
2024-11-03 17:52:39.363573,ct,0.914584,correct comission,f2
2024-11-03 17:52:40.071350,click,,,f2
2024-11-03 17:52:40.165840,ct,0.707777,correct comission,f2
2024-11-03 17:52:40.917524,click,,,f4
2024-11-03 17:52:40.968555,mt,0.751684,comission error,f4
2024-11-03 17:52:41.768905,ct,,omission error,f6
2024-11-03 17:52:42.324883,click,,,f3
2024-11-03 17:52:42.572567,ct,0.555978,correct comission,f3
2024-11-03 17:52:43.029505,click,,,f3
2024-11-03 17:52:43.374388,ct,0.456938,correct comission,f3
2024-11-03 17:52:43.995165,click,,,f2
2024-11-03 17:52:44.170711,ct,0.620777,correct comission,f2
2024-11-03 17:52:44.854369,click,,,f2
2024-11-03 17:52:44.975286,ct,0.683658,correct comission,f2
2024-11-03 17:52:45.592592,click,,,f2
2024-11-03 17:52:45.779718,ct,0.617306,correct comission,f2
2024-11-03 17:52:46.212379,click,,,f3
2024-11-03 17:52:46.584659,ct,0.432661,correct comission,f3
2024-11-03 17:52:47.404475,click,,,f2
2024-11-03 17:52:47.389106,ct,0.819816,correct comission,f2
2024-11-03 17:52:48.084035,click,,,f2
2024-11-03 17:52:48.188985,ct,0.694929,correct comission,f2
2024-11-03 17:52:48.869065,click,,,f4
2024-11-03 17:52:48.994252,mt,0.68008,comission error,f4
2024-11-03 17:52:49.795367,ct,,omission error,f6
2024-11-03 17:52:50.343304,click,,,f3
2024-11-03 17:52:50.591340,ct,0.547937,correct comission,f3
2024-11-03 17:52:51.340547,click,,,f2
2024-11-03 17:52:51.393883,ct,0.749207,correct comission,f2
2024-11-03 17:52:51.923060,click,,,f3
2024-11-03 17:52:52.196927,ct,0.529177,correct comission,f3
2024-11-03 17:52:52.937165,click,,,f2
2024-11-03 17:52:52.996753,ct,0.740238,correct comission,f2
2024-11-03 17:52:53.740673,click,,,f2
2024-11-03 17:52:53.875129,ct,0.74392,correct comission,f2
2024-11-03 17:52:54.457977,click,,,f2
2024-11-03 17:52:54.683412,ct,0.582848,correct comission,f2
2024-11-03 17:52:55.403088,click,,,f2
2024-11-03 17:52:55.486382,ct,0.719676,correct comission,f2
2024-11-03 17:52:56.118342,click,,,f4
2024-11-03 17:52:56.297313,mt,0.63196,comission error,f4
2024-11-03 17:52:56.812537,click,,,f3
2024-11-03 17:52:57.101717,ct,0.515224,correct comission,f3
2024-11-03 17:52:57.910321,ct,,omission error,f6
2024-11-03 17:52:58.261769,click,,,f3
2024-11-03 17:52:58.718233,ct,0.351448,correct comission,f3
2024-11-03 17:52:59.384306,click,,,f2
2024-11-03 17:52:59.520260,ct,0.666073,correct comission,f2
2024-11-03 17:53:00.398044,click,,,f2
2024-11-03 17:53:00.322787,ct,0.877784,correct comission,f2
2024-11-03 17:53:01.246151,click,,,f2
2024-11-03 17:53:01.128294,ct,0.923364,correct comission,f2
2024-11-03 17:53:01.838812,click,,,f2
2024-11-03 17:53:01.931203,ct,0.710518,correct comission,f2
2024-11-03 17:53:02.742884,click,,resting,f1
2024-11-03 17:53:02.743737,g/,,resting,f1
2024-11-03 17:53:03.540299,g/,,resting,f1
2024-11-03 17:53:04.342161,g/,,resting,f1
2024-11-03 17:53:05.146893,g/,,resting,f1
2024-11-03 17:53:05.947359,g/,,resting,f1
2024-11-03 17:53:06.750290,g/,,resting,f1
2024-11-03 17:53:07.552812,g/,,resting,f1
2024-11-03 17:53:08.371920,g/,,resting,f1
2024-11-03 17:53:09.169203,g/,,resting,f1
2024-11-03 17:53:09.976734,g/,,resting,f1
2024-11-03 17:53:10.779411,g/,,resting,f1
2024-11-03 17:53:11.585247,g/,,resting,f1
2024-11-03 17:53:12.386126,g/,,resting,f1
