time,tag,tr,flag,tell
2024-11-03 16:58:09.087120,ct,0.70314,correct comission,f2
2024-11-03 16:58:09.718798,click,,,f2
2024-11-03 16:58:09.885112,ct,0.631678,correct comission,f2
2024-11-03 16:58:10.486470,click,,,f2
2024-11-03 16:58:10.693433,ct,0.601358,correct comission,f2
2024-11-03 16:58:11.242370,click,,,f3
2024-11-03 16:58:11.492557,ct,0.548937,correct comission,f3
2024-11-03 16:58:12.054546,click,,,f2
2024-11-03 16:58:12.297581,ct,0.561989,correct comission,f2
2024-11-03 16:58:12.995837,click,,,f2
2024-11-03 16:58:13.099535,ct,0.698256,correct comission,f2
2024-11-03 16:58:13.780127,click,,,f2
2024-11-03 16:58:13.904093,ct,0.680592,correct comission,f2
2024-11-03 16:58:14.612758,click,,,f2
2024-11-03 16:58:14.703793,ct,0.708665,correct comission,f2
2024-11-03 16:58:15.446518,click,,,f2
2024-11-03 16:58:15.507319,ct,0.742725,correct comission,f2
2024-11-03 16:58:16.251959,click,,,f4
2024-11-03 16:58:16.312495,mt,0.74464,comission error,f4
2024-11-03 16:58:17.029796,click,,,f2
2024-11-03 16:58:17.119280,ct,0.717301,correct comission,f2
2024-11-03 16:58:17.877740,click,,,f2
2024-11-03 16:58:17.925468,ct,0.75846,correct comission,f2
2024-11-03 16:58:18.755742,click,,,f4
2024-11-03 16:58:18.733121,mt,0.830274,comission error,f4
2024-11-03 16:58:19.558070,click,,,f2
2024-11-03 16:58:19.545520,ct,0.824949,correct comission,f2
2024-11-03 16:58:20.293545,click,,,f2
2024-11-03 16:58:20.349281,ct,0.748025,correct comission,f2
2024-11-03 16:58:21.156339,click,,,f2
2024-11-03 16:58:21.154591,ct,0.807058,correct comission,f2
2024-11-03 16:58:21.915679,click,,,f2
2024-11-03 16:58:21.962015,ct,0.761088,correct comission,f2
2024-11-03 16:58:22.905174,click,,,f2
2024-11-03 16:58:22.766618,ct,0.943159,correct comission,f2
2024-11-03 16:58:23.641789,click,,,f2
2024-11-03 16:58:23.576916,ct,0.875171,correct comission,f2
2024-11-03 16:58:24.604595,click,,,f2
2024-11-03 16:58:24.382454,ct,1.027679,correct comission,f2
2024-11-03 16:58:25.435567,click,,,f2
2024-11-03 16:58:25.181212,ct,1.053113,correct comission,f2
2024-11-03 16:58:25.984021,ct,,omission error,f6
2024-11-03 16:58:26.346847,click,,,f3
2024-11-03 16:58:26.784023,ct,0.362826,correct comission,f3
2024-11-03 16:58:27.653669,click,,,f2
2024-11-03 16:58:27.589601,ct,0.869646,correct comission,f2
2024-11-03 16:58:28.541428,click,,,f2
2024-11-03 16:58:28.391339,ct,0.951827,correct comission,f2
2024-11-03 16:58:29.199648,click,,,f4
2024-11-03 16:58:29.204163,mt,0.808309,comission error,f4
2024-11-03 16:58:30.010969,ct,,omission error,f6
2024-11-03 16:58:30.922352,click,,,f2
2024-11-03 16:58:30.822863,ct,0.911383,correct comission,f2
2024-11-03 16:58:31.705135,click,,,f2
2024-11-03 16:58:31.624988,ct,0.882272,correct comission,f2
2024-11-03 16:58:32.362212,click,,,f2
2024-11-03 16:58:32.431362,ct,0.737224,correct comission,f2
2024-11-03 16:58:33.534515,click,,,f2
2024-11-03 16:58:33.247362,ct,1.103153,correct comission,f2
2024-11-03 16:58:33.999028,click,,,f2
2024-11-03 16:58:34.049668,ct,0.751666,correct comission,f2
2024-11-03 16:58:35.100447,click,,,f2
2024-11-03 16:58:34.864818,ct,1.050779,correct comission,f2
2024-11-03 16:58:35.672456,click,,,f2
2024-11-03 16:58:35.673036,ct,0.807638,correct comission,f2
2024-11-03 16:58:36.411828,click,,,f4
2024-11-03 16:58:36.482648,mt,0.738792,comission error,f4
2024-11-03 16:58:37.282281,ct,,omission error,f6
2024-11-03 16:58:37.996178,click,,,f2
2024-11-03 16:58:38.093162,ct,0.713897,correct comission,f2
2024-11-03 16:58:38.857069,click,,,f2
2024-11-03 16:58:38.897925,ct,0.763907,correct comission,f2
2024-11-03 16:58:39.677533,click,,,f2
2024-11-03 16:58:39.702911,ct,0.779608,correct comission,f2
2024-11-03 16:58:40.536109,click,,,f2
2024-11-03 16:58:40.513801,ct,0.833198,correct comission,f2
2024-11-03 16:58:41.277697,click,,,f2
2024-11-03 16:58:41.319361,ct,0.763896,correct comission,f2
2024-11-03 16:58:42.142317,click,,,f4
2024-11-03 16:58:42.119900,mt,0.822956,comission error,f4
2024-11-03 16:58:42.922624,ct,,omission error,f6
2024-11-03 16:58:43.566639,click,,,f2
2024-11-03 16:58:43.733235,ct,0.644015,correct comission,f2
2024-11-03 16:58:44.445794,click,,,f2
2024-11-03 16:58:44.535203,ct,0.712559,correct comission,f2
2024-11-03 16:58:45.210308,click,,,f2
2024-11-03 16:58:45.337564,ct,0.675105,correct comission,f2
2024-11-03 16:58:45.968392,click,,,f2
2024-11-03 16:58:46.145649,ct,0.630828,correct comission,f2
2024-11-03 16:58:46.863962,click,,,f2
2024-11-03 16:58:46.943700,ct,0.718313,correct comission,f2
2024-11-03 16:58:47.629078,click,,,f2
2024-11-03 16:58:47.756039,ct,0.685378,correct comission,f2
2024-11-03 16:58:48.439938,click,,,f2
2024-11-03 16:58:48.552593,ct,0.683899,correct comission,f2
2024-11-03 16:58:49.197041,click,,,f2
2024-11-03 16:58:49.354675,ct,0.644448,correct comission,f2
2024-11-03 16:58:50.028292,click,,resting,f1
2024-11-03 16:58:50.156235,g/,,resting,f1
2024-11-03 16:58:50.955023,g/,,resting,f1
2024-11-03 16:58:51.757005,g/,,resting,f1
2024-11-03 16:58:52.560920,g/,,resting,f1
2024-11-03 16:58:53.362747,g/,,resting,f1
2024-11-03 16:58:54.164929,g/,,resting,f1
2024-11-03 16:58:54.970795,g/,,resting,f1
2024-11-03 16:58:55.776620,g/,,resting,f1
2024-11-03 16:58:56.580718,g/,,resting,f1
2024-11-03 16:58:57.383576,g/,,resting,f1
2024-11-03 16:58:58.188351,g/,,resting,f1
2024-11-03 16:58:58.993345,g/,,resting,f1
2024-11-03 16:58:59.844199,g/,,resting,f1
2024-11-03 16:59:00.640253,g/,,resting,f1
2024-11-03 16:59:01.444066,g/,,resting,f1
2024-11-03 16:59:02.246755,g/,,resting,f1
2024-11-03 16:59:03.059762,g/,,resting,f1
2024-11-03 16:59:03.865327,g/,,resting,f1
2024-11-03 16:59:04.678849,g/,,resting,f1
2024-11-03 16:59:05.478945,g/,,resting,f1
2024-11-03 16:59:06.293279,g/,,resting,f1
2024-11-03 16:59:07.094225,g/,,resting,f1
2024-11-03 16:59:07.901618,g/,,resting,f1
2024-11-03 16:59:08.719185,g/,,resting,f1
2024-11-03 16:59:09.525631,g/,,resting,f1
2024-11-03 16:59:10.346490,g/,,resting,f1
2024-11-03 16:59:11.143274,g/,,resting,f1
2024-11-03 16:59:11.953864,g/,,resting,f1
2024-11-03 16:59:12.759719,g/,,resting,f1
2024-11-03 16:59:13.569631,g/,,resting,f1
2024-11-03 16:59:14.369063,g/,,resting,f1
2024-11-03 16:59:15.170060,g/,,resting,f1
2024-11-03 16:59:15.979279,g/,,resting,f1
2024-11-03 16:59:16.785194,g/,,resting,f1
2024-11-03 16:59:17.586943,g/,,resting,f1
2024-11-03 16:59:18.395200,g/,,resting,f1
2024-11-03 16:59:19.199899,g/,,resting,f1
2024-11-03 16:59:20.002295,g/,,resting,f1
2024-11-03 16:59:20.804377,g/,,resting,f1
2024-11-03 16:59:21.608181,g/,,resting,f1
2024-11-03 16:59:22.407977,g/,,resting,f1
2024-11-03 16:59:23.210611,g/,,resting,f1
2024-11-03 16:59:24.012693,g/,,resting,f1
2024-11-03 16:59:24.813662,g/,,resting,f1
2024-11-03 16:59:25.615359,g/,,resting,f1
2024-11-03 16:59:26.429127,g/,,resting,f1
2024-11-03 16:59:27.229455,g/,,resting,f1
2024-11-03 16:59:28.033237,g/,,resting,f1
2024-11-03 16:59:28.835662,g/,,resting,f1
2024-11-03 16:59:29.644316,g/,,resting,f1
2024-11-03 16:59:30.444984,g/,,resting,f1
2024-11-03 16:59:31.254754,g/,,resting,f1
2024-11-03 16:59:32.066285,g/,,resting,f1
2024-11-03 16:59:32.881479,g/,,resting,f1
2024-11-03 16:59:33.687710,g/,,resting,f1
2024-11-03 16:59:34.491343,g/,,resting,f1
2024-11-03 16:59:35.294730,g/,,resting,f1
2024-11-03 16:59:36.096182,g/,,resting,f1
2024-11-03 16:59:36.894976,g/,,resting,f1
2024-11-03 16:59:37.694154,g/,,resting,f1
2024-11-03 16:59:38.494591,g/,,resting,f1
2024-11-03 16:59:39.297393,g/,,resting,f1
2024-11-03 16:59:40.095969,g/,,resting,f1
2024-11-03 16:59:40.898083,g/,,resting,f1
2024-11-03 16:59:41.699590,g/,,resting,f1
2024-11-03 16:59:42.324642,click,,resting,f1
2024-11-03 16:59:42.506703,g/,,resting,f1
2024-11-03 16:59:43.307304,g/,,resting,f1
2024-11-03 16:59:44.112339,g/,,resting,f1
2024-11-03 16:59:44.915758,g/,,resting,f1
2024-11-03 16:59:45.717047,g/,,resting,f1
2024-11-03 16:59:46.531876,ct,,resting,f11
2024-11-03 16:59:47.443469,click,,,f2
2024-11-03 16:59:47.336440,ct,0.911593,correct comission,f2
2024-11-03 16:59:48.067347,click,,,f2
2024-11-03 16:59:48.147956,ct,0.730907,correct comission,f2
2024-11-03 16:59:48.913847,click,,,f2
2024-11-03 16:59:48.953239,ct,0.765891,correct comission,f2
2024-11-03 16:59:49.737849,click,,,f2
2024-11-03 16:59:49.754681,ct,0.78461,correct comission,f2
2024-11-03 16:59:50.597088,click,,,f2
2024-11-03 16:59:50.564208,ct,0.842407,correct comission,f2
2024-11-03 16:59:51.491835,click,,,f2
2024-11-03 16:59:51.361243,ct,0.927627,correct comission,f2
2024-11-03 16:59:52.122416,click,,,f2
2024-11-03 16:59:52.160181,ct,0.761173,correct comission,f2
2024-11-03 16:59:53.003845,click,,,f4
2024-11-03 16:59:52.958434,mt,0.843664,comission error,f4
2024-11-03 16:59:53.760425,ct,,omission error,f6
2024-11-03 16:59:54.296405,click,,,f3
2024-11-03 16:59:54.566494,ct,0.53598,correct comission,f3
2024-11-03 16:59:55.368716,click,,,f2
2024-11-03 16:59:55.372848,ct,0.802222,correct comission,f2
2024-11-03 16:59:56.024998,click,,,f2
2024-11-03 16:59:56.178693,ct,0.65215,correct comission,f2
2024-11-03 16:59:56.914554,click,,,f2
2024-11-03 16:59:56.978642,ct,0.735861,correct comission,f2
2024-11-03 16:59:57.674849,click,,,f4
2024-11-03 16:59:57.777657,mt,0.696207,comission error,f4
2024-11-03 16:59:58.593103,ct,,omission error,f6
2024-11-03 16:59:59.204285,click,,,f2
2024-11-03 16:59:59.393173,ct,0.611182,correct comission,f2
2024-11-03 17:00:00.114491,click,,,f2
2024-11-03 17:00:00.205746,ct,0.721318,correct comission,f2
2024-11-03 17:00:01.061996,click,,,f2
2024-11-03 17:00:01.017870,ct,0.85625,correct comission,f2
2024-11-03 17:00:01.976356,click,,,f2
2024-11-03 17:00:01.826172,ct,0.958486,correct comission,f2
2024-11-03 17:00:02.572438,click,,,f2
2024-11-03 17:00:02.634213,ct,0.746266,correct comission,f2
2024-11-03 17:00:03.368202,click,,,f2
2024-11-03 17:00:03.434948,ct,0.733989,correct comission,f2
2024-11-03 17:00:04.242495,click,,,f2
2024-11-03 17:00:04.248951,ct,0.807547,correct comission,f2
2024-11-03 17:00:04.999689,click,,,f2
2024-11-03 17:00:05.056819,ct,0.750738,correct comission,f2
2024-11-03 17:00:05.993544,click,,,f2
2024-11-03 17:00:05.865150,ct,0.936725,correct comission,f2
2024-11-03 17:00:06.645441,click,,,f4
2024-11-03 17:00:06.664343,mt,0.780291,comission error,f4
2024-11-03 17:00:07.470387,ct,,omission error,f6
2024-11-03 17:00:08.169545,click,,,f2
2024-11-03 17:00:08.279267,ct,0.699158,correct comission,f2
2024-11-03 17:00:08.966712,click,,,f2
2024-11-03 17:00:09.094054,ct,0.687445,correct comission,f2
2024-11-03 17:00:09.946460,click,,,f2
2024-11-03 17:00:09.891696,ct,0.852406,correct comission,f2
2024-11-03 17:00:10.666213,click,,,f2
2024-11-03 17:00:10.692173,ct,0.774517,correct comission,f2
2024-11-03 17:00:11.639065,click,,,f2
2024-11-03 17:00:11.510028,ct,0.946892,correct comission,f2
2024-11-03 17:00:12.424369,click,,,f2
2024-11-03 17:00:12.313930,ct,0.914341,correct comission,f2
2024-11-03 17:00:13.085609,click,,,f4
2024-11-03 17:00:13.121640,mt,0.771679,comission error,f4
2024-11-03 17:00:13.822513,click,,,f2
2024-11-03 17:00:13.924890,ct,0.700873,correct comission,f2
2024-11-03 17:00:14.520575,click,,,f2
2024-11-03 17:00:14.731051,ct,0.595685,correct comission,f2
2024-11-03 17:00:15.320870,click,,,f2
2024-11-03 17:00:15.535827,ct,0.589819,correct comission,f2
2024-11-03 17:00:16.168507,click,,,f2
2024-11-03 17:00:16.333196,ct,0.63268,correct comission,f2
2024-11-03 17:00:17.014058,click,,,f2
2024-11-03 17:00:17.134036,ct,0.680862,correct comission,f2
2024-11-03 17:00:17.884465,click,,,f2
2024-11-03 17:00:17.932097,ct,0.750429,correct comission,f2
2024-11-03 17:00:18.729879,click,,,f2
2024-11-03 17:00:18.733676,ct,0.797782,correct comission,f2
2024-11-03 17:00:19.366991,click,,,f2
2024-11-03 17:00:19.530985,ct,0.633315,correct comission,f2
2024-11-03 17:00:20.130237,click,,,f2
2024-11-03 17:00:20.333647,ct,0.599252,correct comission,f2
2024-11-03 17:00:21.008441,click,,,f2
2024-11-03 17:00:21.135971,ct,0.674794,correct comission,f2
2024-11-03 17:00:21.802032,click,,,f4
2024-11-03 17:00:21.936663,mt,0.666061,comission error,f4
2024-11-03 17:00:22.739647,ct,,omission error,f6
2024-11-03 17:00:23.257677,click,,,f3
2024-11-03 17:00:23.540210,ct,0.51803,correct comission,f3
2024-11-03 17:00:24.140464,click,,,f2
2024-11-03 17:00:24.341307,ct,0.600254,correct comission,f2
2024-11-03 17:00:25.036858,click,,,f2
2024-11-03 17:00:25.140348,ct,0.695551,correct comission,f2
2024-11-03 17:00:25.938906,click,,,f2
2024-11-03 17:00:25.943173,ct,0.798558,correct comission,f2
2024-11-03 17:00:26.685206,click,,,f2
2024-11-03 17:00:26.746037,ct,0.742033,correct comission,f2
2024-11-03 17:00:27.575962,click,,,f2
2024-11-03 17:00:27.551765,ct,0.829925,correct comission,f2
2024-11-03 17:00:28.480822,click,,,f2
2024-11-03 17:00:28.353422,ct,0.929057,correct comission,f2
2024-11-03 17:00:29.245658,click,,,f2
2024-11-03 17:00:29.158194,ct,0.892236,correct comission,f2
2024-11-03 17:00:29.879196,click,,,f4
2024-11-03 17:00:29.959788,mt,0.721002,comission error,f4
2024-11-03 17:00:30.756762,ct,,omission error,f6
2024-11-03 17:00:31.211802,click,,,f3
2024-11-03 17:00:31.558907,ct,0.45504,correct comission,f3
2024-11-03 17:00:32.026541,click,,,f3
2024-11-03 17:00:32.361437,ct,0.467634,correct comission,f3
2024-11-03 17:00:33.050870,click,,,f2
2024-11-03 17:00:33.164708,ct,0.689433,correct comission,f2
2024-11-03 17:00:33.953755,click,,,f2
2024-11-03 17:00:33.980453,ct,0.789047,correct comission,f2
2024-11-03 17:00:34.816876,click,,,f2
2024-11-03 17:00:34.783731,ct,0.836423,correct comission,f2
2024-11-03 17:00:35.482051,click,,,f2
2024-11-03 17:00:35.591497,ct,0.69832,correct comission,f2
2024-11-03 17:00:36.352146,click,,,f2
2024-11-03 17:00:36.393321,ct,0.760649,correct comission,f2
2024-11-03 17:00:37.187640,click,,,f4
2024-11-03 17:00:37.191290,mt,0.794319,comission error,f4
2024-11-03 17:00:37.904025,click,,,f2
2024-11-03 17:00:37.997668,ct,0.712735,correct comission,f2
2024-11-03 17:00:38.834702,click,,,f2
2024-11-03 17:00:38.801706,ct,0.837034,correct comission,f2
2024-11-03 17:00:39.616645,click,,,f2
2024-11-03 17:00:39.604033,ct,0.814939,correct comission,f2
2024-11-03 17:00:40.529863,click,,,f2
2024-11-03 17:00:40.410019,ct,0.92583,correct comission,f2
2024-11-03 17:00:41.085489,click,,,f2
2024-11-03 17:00:41.208636,ct,0.67547,correct comission,f2
2024-11-03 17:00:42.205967,click,,,f2
2024-11-03 17:00:42.005654,ct,0.997331,correct comission,f2
2024-11-03 17:00:42.649718,click,,,f2
2024-11-03 17:00:42.807222,ct,0.644064,correct comission,f2
2024-11-03 17:00:43.473582,click,,,f2
2024-11-03 17:00:43.609300,ct,0.66636,correct comission,f2
2024-11-03 17:00:44.475640,click,,,f2
2024-11-03 17:00:44.410509,ct,0.86634,correct comission,f2
2024-11-03 17:00:45.145330,click,,,f2
2024-11-03 17:00:45.221718,ct,0.734821,correct comission,f2
2024-11-03 17:00:45.934473,click,,,f2
2024-11-03 17:00:46.030357,ct,0.712755,correct comission,f2
2024-11-03 17:00:46.720898,click,,,f2
2024-11-03 17:00:46.834331,ct,0.690541,correct comission,f2
2024-11-03 17:00:47.632935,click,,,f2
2024-11-03 17:00:47.643229,ct,0.798604,correct comission,f2
2024-11-03 17:00:48.444399,click,,,f2
2024-11-03 17:00:48.445136,ct,0.80117,correct comission,f2
2024-11-03 17:00:49.232449,click,,,f4
2024-11-03 17:00:49.252315,mt,0.787313,comission error,f4
2024-11-03 17:00:50.054233,ct,,omission error,f6
2024-11-03 17:00:50.687319,click,,,f2
2024-11-03 17:00:50.863832,ct,0.633086,correct comission,f2
2024-11-03 17:00:51.459763,click,,,f2
2024-11-03 17:00:51.663292,ct,0.595931,correct comission,f2
2024-11-03 17:00:52.446808,click,,,f2
2024-11-03 17:00:52.469407,ct,0.783516,correct comission,f2
2024-11-03 17:00:53.327959,click,,,f2
2024-11-03 17:00:53.270251,ct,0.858552,correct comission,f2
2024-11-03 17:00:54.034918,click,,,f2
2024-11-03 17:00:54.082226,ct,0.764667,correct comission,f2
2024-11-03 17:00:54.788287,click,,,f2
2024-11-03 17:00:54.883509,ct,0.706061,correct comission,f2
2024-11-03 17:00:55.629620,click,,,f4
2024-11-03 17:00:55.692625,mt,0.746111,comission error,f4
2024-11-03 17:00:56.571179,click,,,f2
